id,name,logo,symbol,cardCount,sdk
bw6,Dragons Exalted,https://assets.tcgdex.net/en/bw/bw6/logo,https://assets.tcgdex.net/univ/bw/bw6/symbol,"SetCardCountResume(total=128, official=124)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
dv1,Dragon Vault,https://assets.tcgdex.net/en/bw/dv1/logo,https://assets.tcgdex.net/univ/bw/dv1/symbol,"SetCardCountResume(total=21, official=20)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
bw7,Boundaries Crossed,https://assets.tcgdex.net/en/bw/bw7/logo,https://assets.tcgdex.net/univ/bw/bw7/symbol,"SetCardCountResume(total=153, official=149)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
bw8,Plasma Storm,https://assets.tcgdex.net/en/bw/bw8/logo,https://assets.tcgdex.net/univ/bw/bw8/symbol,"SetCardCountResume(total=138, official=135)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
bw9,Plasma Freeze,https://assets.tcgdex.net/en/bw/bw9/logo,https://assets.tcgdex.net/univ/bw/bw9/symbol,"SetCardCountResume(total=122, official=116)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
bw10,Plasma Blast,https://assets.tcgdex.net/en/bw/bw10/logo,https://assets.tcgdex.net/univ/bw/bw10/symbol,"SetCardCountResume(total=105, official=101)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
xyp,XY Black Star Promos,https://assets.tcgdex.net/en/xy/xyp/logo,https://assets.tcgdex.net/univ/xy/xyp/symbol,"SetCardCountResume(total=216, official=211)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
rc,Radiant Collection,,,"SetCardCountResume(total=25, official=25)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
bw11,Legendary Treasures,https://assets.tcgdex.net/en/bw/bw11/logo,https://assets.tcgdex.net/univ/bw/bw11/symbol,"SetCardCountResume(total=140, official=113)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
xy0,Kalos Starter Set,https://assets.tcgdex.net/en/xy/xy0/logo,https://assets.tcgdex.net/univ/xy/xy0/symbol,"SetCardCountResume(total=39, official=39)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
xy1,XY,https://assets.tcgdex.net/en/xy/xy1/logo,https://assets.tcgdex.net/univ/xy/xy1/symbol,"SetCardCountResume(total=146, official=146)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
xya,Yello A Alternate,,,"SetCardCountResume(total=6, official=6)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
tk-xy-sy,XY trainer Kit (Sylveon),,https://assets.tcgdex.net/univ/tk/tk-xy-sy/symbol,"SetCardCountResume(total=30, official=30)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
tk-xy-n,XY trainer Kit (Noivern),,https://assets.tcgdex.net/univ/tk/tk-xy-n/symbol,"SetCardCountResume(total=30, official=30)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
xy2,Flashfire,https://assets.tcgdex.net/en/xy/xy2/logo,https://assets.tcgdex.net/univ/xy/xy2/symbol,"SetCardCountResume(total=110, official=106)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
2014xy,Macdonald's Collection 2014,,,"SetCardCountResume(total=12, official=12)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
xy3,Furious Fists,https://assets.tcgdex.net/en/xy/xy3/logo,https://assets.tcgdex.net/univ/xy/xy3/symbol,"SetCardCountResume(total=114, official=111)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
tk-xy-b,XY trainer Kit (Bisharp),,https://assets.tcgdex.net/univ/tk/tk-xy-b/symbol,"SetCardCountResume(total=30, official=30)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
tk-xy-w,XY trainer Kit (Wigglytuff),,https://assets.tcgdex.net/univ/tk/tk-xy-w/symbol,"SetCardCountResume(total=30, official=30)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
xy4,Phantom Forces,https://assets.tcgdex.net/en/xy/xy4/logo,https://assets.tcgdex.net/univ/xy/xy4/symbol,"SetCardCountResume(total=124, official=119)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
xy5,Primal Clash,https://assets.tcgdex.net/en/xy/xy5/logo,https://assets.tcgdex.net/univ/xy/xy5/symbol,"SetCardCountResume(total=164, official=160)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
dc1,Double Crisis,https://assets.tcgdex.net/en/xy/dc1/logo,https://assets.tcgdex.net/univ/xy/dc1/symbol,"SetCardCountResume(total=34, official=34)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
tk-xy-latia,XY trainer Kit (Latias),,https://assets.tcgdex.net/univ/tk/tk-xy-latia/symbol,"SetCardCountResume(total=30, official=30)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
tk-xy-latio,XY trainer Kit (Latios),,https://assets.tcgdex.net/univ/tk/tk-xy-latio/symbol,"SetCardCountResume(total=30, official=30)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
xy6,Roaring Skies,https://assets.tcgdex.net/en/xy/xy6/logo,https://assets.tcgdex.net/univ/xy/xy6/symbol,"SetCardCountResume(total=112, official=108)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
xy7,Ancient Origins,https://assets.tcgdex.net/en/xy/xy7/logo,https://assets.tcgdex.net/univ/xy/xy7/symbol,"SetCardCountResume(total=101, official=98)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
xy8,BREAKthrough,https://assets.tcgdex.net/en/xy/xy8/logo,https://assets.tcgdex.net/univ/xy/xy8/symbol,"SetCardCountResume(total=165, official=162)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
2015xy,Macdonald's Collection 2015,,,"SetCardCountResume(total=12, official=12)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
xy9,BREAKpoint,https://assets.tcgdex.net/en/xy/xy9/logo,https://assets.tcgdex.net/univ/xy/xy9/symbol,"SetCardCountResume(total=126, official=122)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
g1,Generations,https://assets.tcgdex.net/en/xy/g1/logo,https://assets.tcgdex.net/univ/xy/g1/symbol,"SetCardCountResume(total=117, official=83)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
tk-xy-p,XY trainer Kit (Pikachu Libre),,https://assets.tcgdex.net/univ/tk/tk-xy-p/symbol,"SetCardCountResume(total=30, official=30)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
tk-xy-su,XY trainer Kit (Suicune),,https://assets.tcgdex.net/univ/tk/tk-xy-su/symbol,"SetCardCountResume(total=30, official=30)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
xy10,Fates Collide,https://assets.tcgdex.net/en/xy/xy10/logo,https://assets.tcgdex.net/univ/xy/xy10/symbol,"SetCardCountResume(total=129, official=124)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
xy11,Steam Siege,https://assets.tcgdex.net/en/xy/xy11/logo,https://assets.tcgdex.net/univ/xy/xy11/symbol,"SetCardCountResume(total=116, official=114)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
2016xy,Macdonald's Collection 2016,,,"SetCardCountResume(total=12, official=12)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
xy12,Evolutions,https://assets.tcgdex.net/en/xy/xy12/logo,https://assets.tcgdex.net/univ/xy/xy12/symbol,"SetCardCountResume(total=113, official=108)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sm1,Sun & Moon,https://assets.tcgdex.net/en/sm/sm1/logo,https://assets.tcgdex.net/univ/sm/sm1/symbol,"SetCardCountResume(total=172, official=149)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
smp,SM Black Star Promos,https://assets.tcgdex.net/en/sm/smp/logo,https://assets.tcgdex.net/univ/sm/smp/symbol,"SetCardCountResume(total=244, official=236)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
tk-sm-l,SM trainer Kit (Lycanroc),,https://assets.tcgdex.net/univ/tk/tk-sm-l/symbol,"SetCardCountResume(total=30, official=30)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
